businessUnitCode,businessUnitCode,
supplierId,supplierId,
glTransactionId,glAccountNumber,
glAccount,glAccountNumber,
segment05,segment0XValue,
segment04,segment0XValue,
segment03,segment0XValue,
segment02,segment0XValue,
segment01,segment0XValue,
lastModifiedBy,userId,
approvedBy,userId,
enteredBy,userId,
businessUnitCode,businessUnitCode,
supplierId,supplierId,
fixedAssetId,fixedAssetId,
fixedAssetId,fixedAssetId,
segment05,segment0XValue,
segment04,segment0XValue,
segment03,segment0XValue,
segment02,segment0XValue,
segment01,segment0XValue,
fixedAssetRealisedGainLossAccount,glAccountNumber,
fixedAssetUnrealizedGainLossAccount,glAccountNumber,
fixedAssetAccumulatedDepreciationAccount,glAccountNumber,
fixedAssetDepreciationAccount,glAccountNumber,
businessUnitCode,businessUnitCode,
supplierId,supplierId,
purchaseOrderId,purchaseOrderUniqueId,
segment05,segment0XValue,
segment04,segment0XValue,
segment03,segment0XValue,
segment02,segment0XValue,
segment01,segment0XValue,
lastModifiedBy,userId,
approvedBy,userId,
enteredBy,userId,
businessUnitCode,businessUnitCode,
supplierId,supplierId,
segment05,segment0XValue,
segment04,segment0XValue,
segment03,segment0XValue,
segment02,segment0XValue,
segment01,segment0XValue,
businessUnitCode,businessUnitCode,
supplierId,supplierId,
customerId,customerId,
taxCode,regulatorCode,
segment05,segment0XValue,
segment04,segment0XValue,
segment03,segment0XValue,
segment02,segment0XValue,
segment01,segment0XValue,
inventoryglLineCreditAccountNumber,glAccountNumber,
inventoryglLineDebitAccountNumber,glAccountNumber,
businessUnitCode,businessUnitCode,
supplierId,supplierId,
glTax3DebitAccountNumber,glAccountNumber,
glTax3CreditAccountNumber,glAccountNumber,
glTax2DebitAccountNumber,glAccountNumber,
glTax2CreditAccountNumber,glAccountNumber,
glTax1CreditAccountNumber,glAccountNumber,
glTax1DebitAccountNumber,glAccountNumber,
glLineCreditAccountNumber,glAccountNumber,
glLineDebitAccountNumber,glAccountNumber,
segment05,segment0XValue,
segment04,segment0XValue,
segment03,segment0XValue,
segment02,segment0XValue,
segment01,segment0XValue,
transactionId,transactionId,
lineSystemModifiedUser,userId,
lineApprovedBy,userId,
lineSystemEntryUser,userId,
systemModifiedUser,userId,
approvedBy,userId,
systemEntryUser,userId,
businessUnitCode,businessUnitCode,
supplierId,supplierId,
segment05,segment0XValue,
segment04,segment0XValue,
segment03,segment0XValue,
segment02,segment0XValue,
segment01,segment0XValue,
transactionId,transactionId,
sourceId,sourceId,
lineApprovedBy,userId,
lineSystemEntryUser,userId,
lastModifiedBy,userId,
approvedBy,userId,
systemEntryUser,userId,
businessUnitCode,businessUnitCode,
supplierId,supplierId,
sourceId,sourceId,
segment05,segment0XValue,
segment04,segment0XValue,
segment03,segment0XValue,
segment02,segment0XValue,
segment01,segment0XValue,
customerId,customerId,
lineApprovedBy,userId,
lineSystemEntryUser,userId,
lastModifiedBy,userId,
approvedBy,userId,
systemEntryUser,userId,
businessUnitCode,businessUnitCode,
salesOrderId,salesOrderId,
segment05,segment0XValue,
segment04,segment0XValue,
segment03,segment0XValue,
segment02,segment0XValue,
segment01,segment0XValue,
lastModifiedBy,userId,
approvedBy,userId,
enteredBy,userId,
businessUnitCode,businessUnitCode,
segment05,segment0XValue,
segment04,segment0XValue,
segment03,segment0XValue,
segment02,segment0XValue,
segment01,segment0XValue,
transactionId,transactionId,
sourceId,sourceId,
lineSystemModifiedUser,userId,
lineApprovedBy,userId,
lineSystemEntryUser,userId,
systemModifiedUser,userId,
approvedBy,userId,
systemEntryUser,userId,
customerInfoCustomerId,customerId,
businessUnitCode,businessUnitCode,
locationId,locationId,
inventoryProductId,inventoryProductId,
segment05,segment0XValue,
segment04,segment0XValue,
segment03,segment0XValue,
segment02,segment0XValue,
segment01,segment0XValue,
businessUnitCode,businessUnitCode,
taxCode,regulatorCode,
segment05,segment0XValue,
segment04,segment0XValue,
segment03,segment0XValue,
segment02,segment0XValue,
segment01,segment0XValue,
sourceId,sourceId,
lastModifiedBy,userId,
approvedBy,userId,
enteredBy,userId,
glAccountNumber,glAccountNumber,
businessUnitCode,businessUnitCode,
glTransactionId,journalId,
glAccount,glAccountNumber,
segment05,segment0XValue,
segment04,segment0XValue,
segment03,segment0XValue,
segment02,segment0XValue,
segment01,segment0XValue,
lastModifiedBy,userId,
approvedBy,userId,
enteredBy,userId,
businessUnitCode,businessUnitCode,
glTransactionId,transactionId,
segment05,segment0XValue,
segment04,segment0XValue,
segment03,segment0XValue,
segment02,segment0XValue,
segment01,segment0XValue,
lastModifiedBy,userId,
approvedBy,userId,
enteredBy,userId,
fixedAssetRealizedGainLossAccount,glAccountNumber,
fixedAssetUnrealizedGainLossAccount,glAccountNumber,
businessUnitCode,businessUnitCode,
glTransactionId,journalId,
segment05,segment0XValue,
segment04,segment0XValue,
segment03,segment0XValue,
segment02,segment0XValue,
segment01,segment0XValue,
glAccount,glAccountNumber,
lastModifiedBy,userId,
approvedBy,userId,
enteredBy,userId,
fixedAssetRealizedGainLossAccount,glAccountNumber,
fixedAssetUnrealizedGainLossAccount,glAccountNumber,
fixedAssetId,fixedAssetId,
businessUnitCode,businessUnitCode,
segment01,segment0XValue,
segment02,segment0XValue,
segment03,segment0XValue,
segment04,segment0XValue,
segment05,segment0XValue,
lineBusinessUnitCode,businessUnitCode,
glDebitAccountNumber,glAccountNumber,
glCreditAccountNumber,glAccountNumber,
segment05,segment0XValue,
segment04,segment0XValue,
segment03,segment0XValue,
segment02,segment0XValue,
segment01,segment0XValue,
lineModifiedBy,userId,
lineApprovedBy,userId,
lineSystemEntryUser,userId,
sourceId,sourceId,
systemModifiedUser,userId,
systemApprovedUser,userId,
systemEntryUser,userId,
bankAccountId,bankAccountId,
bankAccountId,bankAccountId,
userId,userId,
systemModifiedUser,userId,
systemApprovedUser,userId,
systemEntryUser,userId,
BusinessUnit/BusinessUnit,businessUnitCode,
segmentListing/segmentListing,segment0XValue,
segmentListing/segmentListing,segment0XValue,
segmentListing/segmentListing,segment0XValue,
segmentListing/segmentListing,segment0XValue,
segmentListing/segmentListing,segment0XValue,
ChartOfAccounts/ChartOfAccounts,glAccountNumber,
BusinessUnit/BusinessUnit,businessUnitCode,
BusinessUnit/BusinessUnit,businessUnitCode,
supplierMasterData/supplierMasterData,supplierId,
ChartOfAccounts/ChartOfAccounts,glAccountNumber,
ChartOfAccounts/ChartOfAccounts,glAccountNumber,
UserListing/UserListing,userId,
segmentListing/segmentListing,segment0XValue,
segmentListing/segmentListing,segment0XValue,
segmentListing/segmentListing,segment0XValue,
segmentListing/segmentListing,segment0XValue,
segmentListing/segmentListing,segment0XValue,
UserListing/UserListing,userId,
UserListing/UserListing,userId,
UserListing/UserListing,userId,
UserListing/UserListing,userId,
UserListing/UserListing,userId,
sourceListing/sourceListing,sourceId,
BusinessUnit/BusinessUnit,businessUnitCode,
supplierMasterData/supplierMasterData,supplierId,
glDetail/glDetail,glAccountNumber,
ChartOfAccounts/ChartOfAccounts,glAccountNumber,
segmentListing/segmentListing,segment0XValue,
segmentListing/segmentListing,segment0XValue,
segmentListing/segmentListing,segment0XValue,
segmentListing/segmentListing,segment0XValue,
segmentListing/segmentListing,segment0XValue,
UserListing/UserListing,userId,
UserListing/UserListing,userId,
UserListing/UserListing,userId,
BusinessUnit/BusinessUnit,businessUnitCode,
supplierMasterData/supplierMasterData,supplierId,
fixedAssetRemovals/fixedAssetRemovals,fixedAssetId,
fixedAssetDepreciation/fixedAssetDepreciation,fixedAssetId,
segmentListing/segmentListing,segment0XValue,
segmentListing/segmentListing,segment0XValue,
segmentListing/segmentListing,segment0XValue,
segmentListing/segmentListing,segment0XValue,
segmentListing/segmentListing,segment0XValue,
ChartOfAccounts/ChartOfAccounts,glAccountNumber,
ChartOfAccounts/ChartOfAccounts,glAccountNumber,
ChartOfAccounts/ChartOfAccounts,glAccountNumber,
ChartOfAccounts/ChartOfAccounts,glAccountNumber,
BusinessUnit/BusinessUnit,businessUnitCode,
supplierMasterData/supplierMasterData,supplierId,
purchaseOrderData/purchaseOrderData,purchaseOrderUniqueId,
segmentListing/segmentListing,segment0XValue,
segmentListing/segmentListing,segment0XValue,
segmentListing/segmentListing,segment0XValue,
segmentListing/segmentListing,segment0XValue,
segmentListing/segmentListing,segment0XValue,
UserListing/UserListing,userId,
UserListing/UserListing,userId,
UserListing/UserListing,userId,
BusinessUnit/BusinessUnit,businessUnitCode,
supplierMasterData/supplierMasterData,supplierId,
segmentListing/segmentListing,segment0XValue,
segmentListing/segmentListing,segment0XValue,
segmentListing/segmentListing,segment0XValue,
segmentListing/segmentListing,segment0XValue,
segmentListing/segmentListing,segment0XValue,
BusinessUnit/BusinessUnit,businessUnitCode,
supplierMasterData/supplierMasterData,supplierId,
CustomerMasterData/CustomerMasterData,customerId,
taxTable/taxTable,regulatorCode,
segmentListing/segmentListing,segment0XValue,
segmentListing/segmentListing,segment0XValue,
segmentListing/segmentListing,segment0XValue,
segmentListing/segmentListing,segment0XValue,
segmentListing/segmentListing,segment0XValue,
glDetail/glDetail,glAccountNumber,
glDetail/glDetail,glAccountNumber,
BusinessUnit/BusinessUnit,businessUnitCode,
supplierMasterData/supplierMasterData,supplierId,
ChartOfAccounts/ChartOfAccounts,glAccountNumber,
ChartOfAccounts/ChartOfAccounts,glAccountNumber,
ChartOfAccounts/ChartOfAccounts,glAccountNumber,
ChartOfAccounts/ChartOfAccounts,glAccountNumber,
ChartOfAccounts/ChartOfAccounts,glAccountNumber,
ChartOfAccounts/ChartOfAccounts,glAccountNumber,
ChartOfAccounts/ChartOfAccounts,glAccountNumber,
ChartOfAccounts/ChartOfAccounts,glAccountNumber,
segmentListing/segmentListing,segment0XValue,
segmentListing/segmentListing,segment0XValue,
segmentListing/segmentListing,segment0XValue,
segmentListing/segmentListing,segment0XValue,
